Date,snake coronavirus,hiv coronavirus
29/12/2019,0,0
30/12/2019,0,0
31/12/2019,0,0
01/01/2020,0,0
02/01/2020,0,0
03/01/2020,0,0
04/01/2020,0,0
05/01/2020,0,0
06/01/2020,0,0
07/01/2020,0,0
08/01/2020,0,1
09/01/2020,0,0
10/01/2020,0,0
11/01/2020,0,0
12/01/2020,0,0
13/01/2020,0,1
14/01/2020,0,0
15/01/2020,0,1
16/01/2020,1,0
17/01/2020,1,1
18/01/2020,1,0
19/01/2020,0,0
20/01/2020,1,1
21/01/2020,2,3
22/01/2020,4,4
23/01/2020,32,5
24/01/2020,39,11
25/01/2020,40,12
26/01/2020,32,30
27/01/2020,42,28
28/01/2020,39,30
29/01/2020,42,28
30/01/2020,35,35
31/01/2020,38,55
01/02/2020,17,100
02/02/2020,12,83
03/02/2020,22,75
04/02/2020,18,58
05/02/2020,11,41
06/02/2020,15,29
07/02/2020,16,33
08/02/2020,9,35
09/02/2020,9,22
10/02/2020,12,21
11/02/2020,16,18
12/02/2020,13,17
13/02/2020,10,20
14/02/2020,9,19
15/02/2020,5,14
16/02/2020,5,12
17/02/2020,6,11
18/02/2020,7,17
19/02/2020,8,13
20/02/2020,6,10
21/02/2020,4,11
22/02/2020,3,20
23/02/2020,3,27
24/02/2020,10,29
25/02/2020,11,36
26/02/2020,17,51
27/02/2020,22,59
28/02/2020,18,65
29/02/2020,16,61
